loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
-0.5054899548724774,-0.6419818591016843,-0.40848052098981,-0.6228536170809303,-0.5697624172800303,-0.5300481303735235,0.1755881081325606,-0.6933319927398253,-0.32963061179033426,-0.38427449791783047,-0.5321502769054888,-0.38427967634502774,-0.5450514424573459,-0.40545935746261236,-0.18935806193134436,-0.22516661254800321,-0.40331416383125757,-0.48687149459977447,-0.5583257140423539,-0.582969605554655,-0.6407178505064466
-0.7071904819670777,-0.4308563331801448,-0.40848052098981,-0.37944787003053776,-0.7208099474931061,-0.6437763740093624,-0.012110592746486303,-0.5793710481987012,-1.1373144765653065,-0.3961658794696526,-0.6260454778968196,-0.3961710651548898,-0.6507309094639534,-0.40545935746261236,-0.6167360341115853,-0.22516661254800321,-0.9189074061104407,-0.9983904365683307,-0.7045276452980612,-0.7404364905638092,-0.4293944676959278
-0.4478612328454488,-0.4308563331801448,-0.40848052098981,-0.37944787003053776,-0.5496227465849536,-0.5292348745651348,-0.16226955344972388,-0.41982572584112743,-0.695786340519179,-0.37420457401640655,-0.5321502769054888,-0.37420839806728745,-0.404145486448536,-0.40545935746261236,-0.18935806193134436,-0.22516661254800321,-0.40331416383125757,-0.7060938983005843,-0.52583639598553,-0.582969605554655,-0.4293944676959278
-0.4190468718319345,-0.4308563331801448,-0.40848052098981,-0.37944787003053776,-0.3683657103292625,-0.3804090616300137,-0.27488877397715206,-0.23748821457532895,-0.31978080856137114,-0.33399723337782494,-0.3913074754184923,-0.333996089377611,-0.404145486448536,-0.15083928427883714,-0.18935806193134436,-0.22516661254800321,-0.05958533564513551,-0.3407232254659012,-0.3633898057014108,-0.3730137588757827,-0.4293944676959278
-0.3326037887913915,-0.21973080725860544,0.31142407613051815,-0.13604212298014515,-0.27773719220141707,-0.2869962670115695,-0.5001272150320084,0.5830305861207643,-0.6264094656021347,-0.2338467236483463,-0.29741227442716134,-0.2338495632102012,-0.333692508444131,-0.40545935746261236,0.2380199102488966,-0.22516661254800321,0.9716011489132307,-0.3407232254659012,-0.26592185153093917,-0.2942803163712056,-0.21807108488540905
-0.7071904819670777,-0.6419818591016843,-0.40848052098981,-0.6228536170809303,-0.6503211000603374,-0.6049952342838492,1.1140816125277953,-0.9212538818220735,-0.3510432275054714,-0.3967680885127154,-0.5790978774011541,-0.3967696792854543,-0.6507309094639534,-0.40545935746261236,-0.6167360341115853,-0.22516661254800321,-1.0907718202035017,-0.7791680328675209,-0.6233043501560016,-0.6879475288940912,-0.6407178505064466
-0.5054899548724774,-0.6419818591016843,-0.40848052098981,-0.6228536170809303,-0.5395529112374151,-0.507292913930963,-0.08719007309810514,-0.5075756531377931,-0.5056423129687614,-0.3739475116487708,-0.48520267640982323,-0.373949537902719,-0.5450514424573459,-0.15083928427883714,-0.18935806193134436,-0.22516661254800321,-0.23144974973819654,-0.48687149459977447,-0.542081055013942,-0.5304806438849369,-0.6407178505064466
-0.649561759940049,-0.4308563331801448,-0.40848052098981,-0.6228536170809303,-0.6603909354078759,-0.5995256903176276,0.5134457697148452,-0.8164098128442393,-0.6032838406297867,-0.3944644142181334,-0.5790978774011541,-0.3944642059447668,-0.6155044204617509,-0.40545935746261236,-0.40304704802146485,-0.22516661254800321,-0.9189074061104407,-0.6330197637336477,-0.6882829862696492,-0.609214086389514,-0.4293944676959278
-0.24616070575084859,-0.21973080725860544,0.31142407613051815,-0.13604212298014515,-0.19717850942110995,-0.23244434308024522,-0.3875079945045802,-0.04489421830082931,-0.08338553106625739,-0.27944608227100803,-0.25046467393149585,-0.279449399074958,-0.19278655243532106,-0.15083928427883714,-0.18935806193134436,-0.22516661254800321,0.2841434925409866,-0.12150082176509139,-0.16845389736046762,-0.24179135470148752,-0.21807108488540905
-0.7936335650076206,-0.6419818591016843,-0.40848052098981,-0.6228536170809303,-0.740949618188183,-0.6520205554394982,-0.7629053962626741,-1.1491757709043215,-1.3146109346866417,-0.40081277611537597,-0.6260454778968196,-0.40081436935683595,-0.756410376470561,-0.40545935746261236,-0.6167360341115853,-0.22516661254800321,-0.7470429920173797,-1.0714645711352673,-0.7045276452980612,-0.7929254522335273,-0.6407178505064466
